time,classificacao,serie,ano,pontos,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,cartoes_amarelos,cartoes_vermelhos,aproveitamento
Palmeiras,1,serie-a,2018,80,38,23,11,4,64,26,38,117,5,70
Flamengo,2,serie-a,2018,72,38,21,9,8,59,29,30,83,10,63
Internacional,3,serie-a,2018,69,38,19,12,7,51,29,22,96,6,60
Grêmio,4,serie-a,2018,66,38,18,12,8,48,27,21,83,1,57
São Paulo,5,serie-a,2018,63,38,16,15,7,46,34,12,98,6,55
Atlético,6,serie-a,2018,59,38,17,8,13,56,43,13,90,3,51
Athletico Paranaense,7,serie-a,2018,57,38,16,9,13,54,37,17,88,5,50
Cruzeiro,8,serie-a,2018,53,38,14,11,13,34,34,0,99,2,46
Botafogo,9,serie-a,2018,51,38,13,12,13,38,46,-8,90,5,44
Santos,10,serie-a,2018,50,38,13,11,14,46,40,6,88,3,43
Bahia,11,serie-a,2018,48,38,12,12,14,39,41,-2,85,4,42
Fluminense,12,serie-a,2018,45,38,12,9,17,32,46,-14,87,5,39
Corinthians,13,serie-a,2018,44,38,11,11,16,34,35,-1,77,3,38
Chapecoense,14,serie-a,2018,44,38,11,11,16,34,50,-16,74,3,38
Ceará,15,serie-a,2018,44,38,10,14,14,32,38,-6,91,3,38
Vasco da Gama,16,serie-a,2018,43,38,10,13,15,41,48,-7,101,9,37
America Fc,17,serie-a,2018,40,38,10,10,18,30,47,-17,84,8,35
Sport,18,serie-a,2018,39,38,11,9,18,35,57,-22,78,4,34
Vitória,19,serie-a,2018,37,38,9,10,19,36,63,-27,108,7,32
Paraná,20,serie-a,2018,23,38,4,11,23,18,57,-39,98,9,20
Fortaleza,1,serie-b,2018,71,38,21,8,9,54,33,21,95,2,62
Csa,2,serie-b,2018,62,38,17,11,10,51,37,14,96,2,54
Avaí,3,serie-b,2018,61,38,16,13,9,50,32,18,100,6,53
Goiás,4,serie-b,2018,60,38,18,6,14,54,50,4,93,3,52
Ponte Preta,5,serie-b,2018,60,38,16,12,10,42,30,12,85,9,52
Atlético,6,serie-b,2018,59,38,16,11,11,57,51,6,97,6,51
Vila Nova,7,serie-b,2018,57,38,14,15,9,41,36,5,88,6,50
Londrina,8,serie-b,2018,55,38,15,10,13,45,42,3,114,6,48
Guarani,9,serie-b,2018,54,38,14,12,12,44,39,5,86,3,47
Coritiba,10,serie-b,2018,52,38,13,13,12,40,44,-4,102,6,45
Brasil,11,serie-b,2018,50,38,13,11,14,36,35,1,108,5,43
Crb,12,serie-b,2018,48,38,12,12,14,35,39,-4,85,7,42
São Bento,13,serie-b,2018,47,38,11,14,13,41,41,0,98,4,41
Criciúma,14,serie-b,2018,47,38,11,14,13,45,49,-4,113,13,41
Figueirense,15,serie-b,2018,46,38,11,13,14,48,51,-3,99,6,40
Oeste,16,serie-b,2018,46,38,9,19,10,36,40,-4,90,4,40
Paysandu,17,serie-b,2018,43,38,10,13,15,42,53,-11,89,6,37
Sampaio Corrêa,18,serie-b,2018,38,38,10,8,20,32,47,-15,107,9,33
Juventude,19,serie-b,2018,35,38,7,14,17,27,48,-21,112,7,30
Boa,20,serie-b,2018,30,38,7,9,22,26,49,-23,95,9,26
Flamengo,1,serie-a,2019,90,38,28,6,4,86,37,49,90,3,78
Santos,2,serie-a,2019,74,38,22,8,8,60,33,27,110,12,64
Palmeiras,3,serie-a,2019,74,38,21,11,6,61,32,29,78,5,64
Grêmio,4,serie-a,2019,65,38,19,8,11,64,39,25,80,2,57
